advertiser_id,identifier_type,identifier,list_name,notes,submitted_at
adv_techcorp,email_hash,a1b2c3d4e5f6789abcdef123456789abcdef123456789abcdef123456789abcd,existing_customers,from_crm_export_jan_2024,2024-01-15T10:30:00Z
adv_techcorp,email_hash,f6e5d4c3b2a1987654321fedcba098765432109876543210fedcba0987654321,existing_customers,from_crm_export_jan_2024,2024-01-15T10:30:00Z
adv_gamestudio,device_id,550e8400-e29b-41d4-a716-446655440000,mobile_optouts,ios_opted_out_privacy,2024-01-10T08:15:00Z
adv_gamestudio,device_id,f47ac10b-58cc-4372-a567-0e02b2c3d479,mobile_optouts,android_opted_out,2024-01-10T08:15:00Z
adv_techcorp,email_hash,9876543210abcdef9876543210abcdef9876543210abcdef9876543210abcdef,competitor_block,employee_domain_analysis,2024-01-05T12:00:00Z
adv_techcorp,email_hash,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,competitor_block,linkedin_scrape_data,2024-01-05T12:00:00Z
adv_luxurystore,device_id,6ba7b810-9dad-11d1-80b4-00c04fd430c8,gdpr_requests,eu_privacy_request,2024-01-12T14:20:00Z
adv_techcorp,email_hash,deadbeefcafebabe0123456789abcdef0123456789abcdef0123456789abcdef,test_accounts,internal_testing_users,2024-01-15T10:30:00Z
adv_gamestudio,device_id,01234567-89ab-cdef-0123-456789abcdef,test_devices,qa_testing_devices,2024-01-10T08:15:00Z
adv_luxurystore,email_hash,vip1234567890abcdefvip1234567890abcdefvip1234567890abcdefvip123,vip_customers,loyalty_program_platinum,2024-01-12T14:20:00Z
adv_luxurystore,email_hash,premium0987654321fedcbapremium0987654321fedcbapremium0987654321fe,vip_customers,enterprise_customer,2024-01-12T14:20:00Z
adv_gamestudio,device_id,iosdevice-1111-2222-3333-444444444444,ios_privacy,ios14_att_declined,2024-01-08T16:45:00Z
adv_gamestudio,device_id,iosdevice-aaaa-bbbb-cccc-dddddddddddd,ios_privacy,ios14_att_declined,2024-01-08T16:45:00Z
adv_techcorp,email_hash,123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef01,newsletter_unsubscribed,marketing_optout,2024-01-20T14:22:00Z
adv_techcorp,email_hash,fedcba9876543210fedcba9876543210fedcba9876543210fedcba9876543210,newsletter_unsubscribed,marketing_optout,2024-01-20T14:22:00Z
adv_gamestudio,device_id,f47ac10b-58cc-4372-a567-0e02b2c3d479,frequency_capped,daily_limit_reached,2024-01-22T16:45:00Z
adv_techcorp,email_hash,enterprise1234567890abcdefenterprise1234567890abcdefenterprise1234,enterprise_leads,b2b_prospect_import,2024-02-01T09:15:00Z
adv_luxurystore,email_hash,abandon1111222233334444abandon1111222233334444abandon111122223333,abandoned_carts,cart_abandonment_retargeting,2024-01-28T18:30:00Z
